p,2p,3p,1n,2n,3n,ep,en,date,time,mention,hashtag,Class
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['indirashinta']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['pradinayashinta']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['dinaakriiis']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['citilin1 hlp_ap2']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['digotama']', '[]', negative
0, 0, 1, 0, 0, -2, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 1, 2, 0, -2, -3, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', negative
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '[]', '['#money']', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#agnmilanexp1 #17andimilanexpo']', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['ini_talkshow']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['daeminie']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['vivacoid']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', negative
0, 1, 0, 0, -1, -2, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['nickeayu']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['r_ameljkt48']', '[]', negative
0, 0, 0, 0, 0, -3, 0, 0, '[]', '[]', '['sriwijayaai1 indonesiagaruda']', '[]', negative
0, 0, 2, 0, 0, -3, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['airasia_indo']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['womanfeeds']', '[]', negative
0, 0, 1, 0, 0, -2, 0, 0, '[]', '[]', '['kai121']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['clarasiagian']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 1, 1, 0, -2, -2, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['adityabhaskaray']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['natalieanggi111 jokow1 erickthohi1 indonesiagaruda']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#erickbersihkanbumn']', negative
0, 0, 0, 0, 0, -3, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['citilin1 hlp_ap2']', '[]', negative
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', negative
0, 0, 0, 0, 0, -3, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['septiadialexi']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['andinaag1 indonesiagaruda']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#kemenkopukm']', negative
0, 1, 0, 0, -1, -3, 0, 0, '[]', '[]', '['andridsai1 indonesiagarud1 angkasapura_1 contactap2']', '[]', negative
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 2, 0, 0, -2, -3, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 1, 1, 0, -1, -2, 0, 0, '[]', '[]', '['indoflye1 indonesiagaruda']', '[]', negative
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['kemenhub151 lionairi1 indonesiagarud1 sriwijayaair']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['heniragazza']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['dedeanw93223229']', '['#harleybancakan']', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['bluegvrl']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 1, 0, 0, -2, 0, 0, '[]', '[]', '['indonesiagarud1 traveloka']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['dyahayw1 citilink']', '[]', negative
0, 0, 1, 0, 0, -3, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 0, 0, 0, -4, 0, 0, '[]', '[]', '[]', '[]', negative
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['dsuperboy']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['info']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['hafizfr1 citilin1 travelok1 infobijb']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['aldimorda']', '[]', negative
0, 0, 0, 0, 0, -3, 0, 0, '[]', '[]', '['indonesia']', '['#bu1 #terbaka1 #lintasinewsmala1 #mnctvnews']', negative
0, 0, 1, 0, 0, -2, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '[]', '[]', negative
0, 1, 0, 0, -1, -2, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['evinovi123']', '[]', negative
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['97akur']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['jokowi']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -3, 0, 0, '[]', '[]', '['banyusadew1 indonesiagaruda']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#jakart1 #semaran1 #citilink']', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['sriwijayaai1 rullyiswan']', '[\'#sjtravelpas1 #sriwijayairpenipu\']', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#belanjawan2021 #jabatanpeneranga1 #makmur2031 #kemakmuranbersam1 #sharedprosperit1 #meamalaysi1 #sayangimalaysiak1 #malaysiabersih']', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['indonesiagarud1 garudacares']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['indonesiagarud1 infobij1 atraircraft']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['adityaa_prtm']', '[]', negative
0, 1, 2, 0, -2, -2, 0, 0, '[]', '[]', '['y03_n4n1 indonesiagarud1 jokowi']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['citilink']', '['#isengngecek']', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['info']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['bakpaopedia']', '[]', negative
0, 0, 1, 0, 0, -2, 0, 0, '[]', '[]', '['arnoldpoernom1 indonesiagaruda']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '[]', '['#propertisyaria1 #rumahmurahmewa1 #kprsyaria1 #ol1 #highclas1 #garudaindonesi1 #rumahtanpad1 #ikea']', negative
0, 2, 1, 0, -2, -2, 0, 0, '[]', '[]', '['fariz_fadlilah']', '[]', negative
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['donieka554']', '[]', negative
0, 1, 1, 0, -1, -2, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', negative
0, 1, 1, 0, -2, -2, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 1, 0, 0, -1, -2, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['citilin1 kemenhub151 angkasapura_1 ap_airports']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#tiket2indonesi1 #tiket2indonesia']', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 1, 1, 0, -1, -2, 0, 0, '[]', '[]', '['rughsel']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['masrukhin_07']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
